Text,Timestamp,Likes,Location,Shares
"""This product is amazing!""",12/1/2024 12:30,55,New York ,25
"""Not happy with the service""",11/1/2024 12:31,48,London,49
"""Good Quality""",10/1/2024 12:32,46,America,28
"""Quality is amazing""",9/1/2024 12:33,51,Mumbai,88
"""Superb""",8/1/2024 1:25,24,New York ,27
"""As expected""",7/1/2024 5:22,75,America,99
"""Very Comfortable""",6/1/2024 6:14,188,America,57
"""Good product""",5/1/2024 4:55,16,London,68
"""Very Nice """,4/1/2024 8:45,43,Mumbai,15
,, ,,
